Loading tokenizer and model (this may take a while)...
Read 10000 train records
Building ORPO-style datasets (creating synthetic 'rejected' responses)...
Starting training...
{'loss': 2.6092, 'grad_norm': 1.1636658906936646, 'learning_rate': 1.9928e-05, 'rewards/chosen': -0.8355883359909058, 'rewards/rejected': -1.069198727607727, 'rewards/accuracies': 0.675000011920929, 'rewards/margins': 0.23361027240753174, 'logps/rejected': -10.691987037658691, 'logps/chosen': -8.355884552001953, 'logits/rejected': 0.5487064123153687, 'logits/chosen': 0.5444585680961609, 'nll_loss': 2.4972660541534424, 'log_odds_ratio': -1.11929452419281, 'log_odds_chosen': 2.337411880493164, 'epoch': 0.0}
{'loss': 2.1908, 'grad_norm': 0.5780806541442871, 'learning_rate': 1.9048e-05, 'rewards/chosen': -0.5837787389755249, 'rewards/rejected': -0.7844730019569397, 'rewards/accuracies': 0.7250000238418579, 'rewards/margins': 0.2006942480802536, 'logps/rejected': -7.844729423522949, 'logps/chosen': -5.837786674499512, 'logits/rejected': 1.6750991344451904, 'logits/chosen': 1.6588268280029297, 'nll_loss': 2.1284067630767822, 'log_odds_ratio': -0.6236229538917542, 'log_odds_chosen': 2.0146138668060303, 'epoch': 0.05}
{'loss': 2.1455, 'grad_norm': 0.5304115414619446, 'learning_rate': 1.8968000000000002e-05, 'rewards/chosen': -0.5022639632225037, 'rewards/rejected': -0.7614537477493286, 'rewards/accuracies': 0.75, 'rewards/margins': 0.2591898441314697, 'logps/rejected': -7.614537715911865, 'logps/chosen': -5.022639274597168, 'logits/rejected': 1.6529340744018555, 'logits/chosen': 1.6354061365127563, 'nll_loss': 2.088477611541748, 'log_odds_ratio': -0.5704777836799622, 'log_odds_chosen': 2.6117401123046875, 'epoch': 0.05}
{'loss': 2.0577, 'grad_norm': 0.4833480417728424, 'learning_rate': 1.8888000000000003e-05, 'rewards/chosen': -0.49376851320266724, 'rewards/rejected': -0.8343914151191711, 'rewards/accuracies': 0.949999988079071, 'rewards/margins': 0.3406229317188263, 'logps/rejected': -8.343914031982422, 'logps/chosen': -4.937685966491699, 'logits/rejected': 1.6133521795272827, 'logits/chosen': 1.587623953819275, 'nll_loss': 2.0427756309509277, 'log_odds_ratio': -0.14894624054431915, 'log_odds_chosen': 3.4222183227539062, 'epoch': 0.06}
{'loss': 2.1331, 'grad_norm': 0.5773628950119019, 'learning_rate': 1.8808e-05, 'rewards/chosen': -0.44683605432510376, 'rewards/rejected': -0.7299774885177612, 'rewards/accuracies': 0.875, 'rewards/margins': 0.28314152359962463, 'logps/rejected': -7.299775123596191, 'logps/chosen': -4.46835994720459, 'logits/rejected': 1.7036100625991821, 'logits/chosen': 1.6860790252685547, 'nll_loss': 2.1086058616638184, 'log_odds_ratio': -0.24542737007141113, 'log_odds_chosen': 2.8602302074432373, 'epoch': 0.06}
{'loss': 2.197, 'grad_norm': 6.247121334075928, 'learning_rate': 1.8728e-05, 'rewards/chosen': -0.4109124541282654, 'rewards/rejected': -0.7107835412025452, 'rewards/accuracies': 0.8500000238418579, 'rewards/margins': 0.2998710870742798, 'logps/rejected': -7.107835292816162, 'logps/chosen': -4.109124660491943, 'logits/rejected': 1.6473442316055298, 'logits/chosen': 1.6268030405044556, 'nll_loss': 2.1679837703704834, 'log_odds_ratio': -0.29052847623825073, 'log_odds_chosen': 3.0457940101623535, 'epoch': 0.06}
{'loss': 1.9925, 'grad_norm': 0.7728161215782166, 'learning_rate': 1.8648000000000002e-05, 'rewards/chosen': -0.3434255123138428, 'rewards/rejected': -0.7509271502494812, 'rewards/accuracies': 0.9750000238418579, 'rewards/margins': 0.4075016379356384, 'logps/rejected': -7.50927209854126, 'logps/chosen': -3.4342548847198486, 'logits/rejected': 1.4713069200515747, 'logits/chosen': 1.450836420059204, 'nll_loss': 1.984387755393982, 'log_odds_ratio': -0.08062373101711273, 'log_odds_chosen': 4.129549503326416, 'epoch': 0.07}
{'loss': 2.0112, 'grad_norm': 0.6840121746063232, 'learning_rate': 1.8568000000000002e-05, 'rewards/chosen': -0.35096269845962524, 'rewards/rejected': -0.7011407613754272, 'rewards/accuracies': 0.949999988079071, 'rewards/margins': 0.350178062915802, 'logps/rejected': -7.011407375335693, 'logps/chosen': -3.509627103805542, 'logits/rejected': 1.5396004915237427, 'logits/chosen': 1.5295366048812866, 'nll_loss': 1.9939409494400024, 'log_odds_ratio': -0.172648623585701, 'log_odds_chosen': 3.5823028087615967, 'epoch': 0.07}
{'loss': 2.0814, 'grad_norm': 0.5864078402519226, 'learning_rate': 1.8488e-05, 'rewards/chosen': -0.30174699425697327, 'rewards/rejected': -0.7163511514663696, 'rewards/accuracies': 0.9750000238418579, 'rewards/margins': 0.41460418701171875, 'logps/rejected': -7.163511753082275, 'logps/chosen': -3.017469644546509, 'logits/rejected': 1.6382036209106445, 'logits/chosen': 1.611464262008667, 'nll_loss': 2.072814464569092, 'log_odds_ratio': -0.08576580137014389, 'log_odds_chosen': 4.2565016746521, 'epoch': 0.08}
{'loss': 2.1046, 'grad_norm': 2.8286705017089844, 'learning_rate': 1.8408e-05, 'rewards/chosen': -0.31036490201950073, 'rewards/rejected': -0.6139177083969116, 'rewards/accuracies': 0.8999999761581421, 'rewards/margins': 0.30355286598205566, 'logps/rejected': -6.139176845550537, 'logps/chosen': -3.103649139404297, 'logits/rejected': 1.5202730894088745, 'logits/chosen': 1.4917502403259277, 'nll_loss': 2.073713541030884, 'log_odds_ratio': -0.3090732991695404, 'log_odds_chosen': 3.119445323944092, 'epoch': 0.08}
{'loss': 2.035, 'grad_norm': 0.8459270000457764, 'learning_rate': 1.8328e-05, 'rewards/chosen': -0.26866739988327026, 'rewards/rejected': -0.6451975107192993, 'rewards/accuracies': 0.949999988079071, 'rewards/margins': 0.37653008103370667, 'logps/rejected': -6.451974391937256, 'logps/chosen': -2.686673879623413, 'logits/rejected': 1.594597578048706, 'logits/chosen': 1.5731242895126343, 'nll_loss': 2.024280071258545, 'log_odds_ratio': -0.10766255855560303, 'log_odds_chosen': 3.8937346935272217, 'epoch': 0.08}
{'loss': 2.1558, 'grad_norm': 0.5500659346580505, 'learning_rate': 1.8248000000000002e-05, 'rewards/chosen': -0.2643347382545471, 'rewards/rejected': -0.6570544242858887, 'rewards/accuracies': 0.9750000238418579, 'rewards/margins': 0.39271968603134155, 'logps/rejected': -6.5705437660217285, 'logps/chosen': -2.6433470249176025, 'logits/rejected': 1.4872759580612183, 'logits/chosen': 1.4618029594421387, 'nll_loss': 2.145082712173462, 'log_odds_ratio': -0.10758040845394135, 'log_odds_chosen': 4.083861827850342, 'epoch': 0.09}
{'loss': 2.1388, 'grad_norm': 0.7662705183029175, 'learning_rate': 1.8168e-05, 'rewards/chosen': -0.26455816626548767, 'rewards/rejected': -0.5900460481643677, 'rewards/accuracies': 0.9750000238418579, 'rewards/margins': 0.3254879117012024, 'logps/rejected': -5.900460243225098, 'logps/chosen': -2.6455814838409424, 'logits/rejected': 1.3124303817749023, 'logits/chosen': 1.2751661539077759, 'nll_loss': 2.1249284744262695, 'log_odds_ratio': -0.1384396255016327, 'log_odds_chosen': 3.379398822784424, 'epoch': 0.09}
{'loss': 1.9763, 'grad_norm': 0.6379055380821228, 'learning_rate': 1.8088e-05, 'rewards/chosen': -0.2465006411075592, 'rewards/rejected': -0.6539413928985596, 'rewards/accuracies': 0.949999988079071, 'rewards/margins': 0.407440721988678, 'logps/rejected': -6.5394134521484375, 'logps/chosen': -2.4650063514709473, 'logits/rejected': 1.1916955709457397, 'logits/chosen': 1.1713480949401855, 'nll_loss': 1.963666558265686, 'log_odds_ratio': -0.12621787190437317, 'log_odds_chosen': 4.319398403167725, 'epoch': 0.1}
{'loss': 2.0054, 'grad_norm': 0.6271713376045227, 'learning_rate': 1.8008e-05, 'rewards/chosen': -0.23008644580841064, 'rewards/rejected': -0.674721360206604, 'rewards/accuracies': 0.9750000238418579, 'rewards/margins': 0.4446350038051605, 'logps/rejected': -6.747215270996094, 'logps/chosen': -2.3008646965026855, 'logits/rejected': 1.1636693477630615, 'logits/chosen': 1.148327350616455, 'nll_loss': 1.9944976568222046, 'log_odds_ratio': -0.10873889923095703, 'log_odds_chosen': 4.64307975769043, 'epoch': 0.1}
{'loss': 2.0341, 'grad_norm': 0.9252980947494507, 'learning_rate': 1.7928000000000002e-05, 'rewards/chosen': -0.24878144264221191, 'rewards/rejected': -0.6689518690109253, 'rewards/accuracies': 0.9750000238418579, 'rewards/margins': 0.42017045617103577, 'logps/rejected': -6.689518928527832, 'logps/chosen': -2.48781418800354, 'logits/rejected': 1.1002917289733887, 'logits/chosen': 1.0792295932769775, 'nll_loss': 2.0238239765167236, 'log_odds_ratio': -0.10316161811351776, 'log_odds_chosen': 4.410959243774414, 'epoch': 0.1}
{'loss': 1.8835, 'grad_norm': 0.5697459578514099, 'learning_rate': 1.7848e-05, 'rewards/chosen': -0.2082432508468628, 'rewards/rejected': -0.6116856336593628, 'rewards/accuracies': 0.949999988079071, 'rewards/margins': 0.4034424424171448, 'logps/rejected': -6.116856098175049, 'logps/chosen': -2.082432746887207, 'logits/rejected': 1.0715463161468506, 'logits/chosen': 1.0491807460784912, 'nll_loss': 1.8710641860961914, 'log_odds_ratio': -0.12426688522100449, 'log_odds_chosen': 4.311827182769775, 'epoch': 0.11}
{'loss': 2.038, 'grad_norm': 0.5591720342636108, 'learning_rate': 1.7768e-05, 'rewards/chosen': -0.2545880377292633, 'rewards/rejected': -0.6407830715179443, 'rewards/accuracies': 0.949999988079071, 'rewards/margins': 0.3861950635910034, 'logps/rejected': -6.407830715179443, 'logps/chosen': -2.5458803176879883, 'logits/rejected': 1.1761865615844727, 'logits/chosen': 1.15010666847229, 'nll_loss': 2.023772954940796, 'log_odds_ratio': -0.14180853962898254, 'log_odds_chosen': 4.054787635803223, 'epoch': 0.11}
{'loss': 2.0373, 'grad_norm': 0.641372561454773, 'learning_rate': 1.7688e-05, 'rewards/chosen': -0.18832162022590637, 'rewards/rejected': -0.6079726219177246, 'rewards/accuracies': 1.0, 'rewards/margins': 0.41965097188949585, 'logps/rejected': -6.079725742340088, 'logps/chosen': -1.8832162618637085, 'logits/rejected': 0.8639294505119324, 'logits/chosen': 0.8336200714111328, 'nll_loss': 2.030677318572998, 'log_odds_ratio': -0.06588266789913177, 'log_odds_chosen': 4.450230598449707, 'epoch': 0.12}
{'loss': 2.0089, 'grad_norm': 0.6527095437049866, 'learning_rate': 1.7608e-05, 'rewards/chosen': -0.2256186455488205, 'rewards/rejected': -0.6264145970344543, 'rewards/accuracies': 0.925000011920929, 'rewards/margins': 0.40079593658447266, 'logps/rejected': -6.264145374298096, 'logps/chosen': -2.2561867237091064, 'logits/rejected': 1.0380618572235107, 'logits/chosen': 1.0190951824188232, 'nll_loss': 1.9909662008285522, 'log_odds_ratio': -0.17888697981834412, 'log_odds_chosen': 4.2667460441589355, 'epoch': 0.12}
{'loss': 2.0575, 'grad_norm': 0.5726511478424072, 'learning_rate': 1.7528e-05, 'rewards/chosen': -0.18802645802497864, 'rewards/rejected': -0.6331814527511597, 'rewards/accuracies': 1.0, 'rewards/margins': 0.4451550543308258, 'logps/rejected': -6.331814765930176, 'logps/chosen': -1.8802645206451416, 'logits/rejected': 1.0731055736541748, 'logits/chosen': 1.0337518453598022, 'nll_loss': 2.0523910522460938, 'log_odds_ratio': -0.05092804506421089, 'log_odds_chosen': 4.744429588317871, 'epoch': 0.12}
{'loss': 1.9826, 'grad_norm': 1.3001879453659058, 'learning_rate': 1.7448e-05, 'rewards/chosen': -0.1800527274608612, 'rewards/rejected': -0.5619210600852966, 'rewards/accuracies': 0.9750000238418579, 'rewards/margins': 0.3818683326244354, 'logps/rejected': -5.619210243225098, 'logps/chosen': -1.8005272150039673, 'logits/rejected': 1.00617516040802, 'logits/chosen': 0.9710406064987183, 'nll_loss': 1.9734601974487305, 'log_odds_ratio': -0.09156587719917297, 'log_odds_chosen': 4.183950901031494, 'epoch': 0.13}
{'loss': 1.9977, 'grad_norm': 0.6010486483573914, 'learning_rate': 1.7368e-05, 'rewards/chosen': -0.17210416495800018, 'rewards/rejected': -0.6241735219955444, 'rewards/accuracies': 1.0, 'rewards/margins': 0.45206934213638306, 'logps/rejected': -6.241734981536865, 'logps/chosen': -1.7210414409637451, 'logits/rejected': 0.9094914197921753, 'logits/chosen': 0.8847862482070923, 'nll_loss': 1.9942470788955688, 'log_odds_ratio': -0.034089937806129456, 'log_odds_chosen': 4.92201566696167, 'epoch': 0.13}
{'loss': 1.9369, 'grad_norm': 0.6848545670509338, 'learning_rate': 1.7288e-05, 'rewards/chosen': -0.1739259660243988, 'rewards/rejected': -0.5903295278549194, 'rewards/accuracies': 1.0, 'rewards/margins': 0.41640353202819824, 'logps/rejected': -5.903294563293457, 'logps/chosen': -1.7392597198486328, 'logits/rejected': 0.9213487505912781, 'logits/chosen': 0.8855077624320984, 'nll_loss': 1.9312150478363037, 'log_odds_ratio': -0.05667400360107422, 'log_odds_chosen': 4.550980091094971, 'epoch': 0.14}
{'loss': 2.1176, 'grad_norm': 0.6096592545509338, 'learning_rate': 1.7208000000000002e-05, 'rewards/chosen': -0.20447084307670593, 'rewards/rejected': -0.5987696647644043, 'rewards/accuracies': 0.949999988079071, 'rewards/margins': 0.3942987620830536, 'logps/rejected': -5.987696647644043, 'logps/chosen': -2.044708490371704, 'logits/rejected': 0.9368948936462402, 'logits/chosen': 0.9101817011833191, 'nll_loss': 2.1021370887756348, 'log_odds_ratio': -0.15431120991706848, 'log_odds_chosen': 4.292230606079102, 'epoch': 0.14}
{'loss': 1.9962, 'grad_norm': 0.6504948139190674, 'learning_rate': 1.7128000000000003e-05, 'rewards/chosen': -0.21188649535179138, 'rewards/rejected': -0.5978922247886658, 'rewards/accuracies': 0.9750000238418579, 'rewards/margins': 0.386005699634552, 'logps/rejected': -5.978922367095947, 'logps/chosen': -2.1188647747039795, 'logits/rejected': 0.7186583876609802, 'logits/chosen': 0.697489857673645, 'nll_loss': 1.9867833852767944, 'log_odds_ratio': -0.09373243153095245, 'log_odds_chosen': 4.164609432220459, 'epoch': 0.14}
{'loss': 1.932, 'grad_norm': 3.4288809299468994, 'learning_rate': 1.7048000000000003e-05, 'rewards/chosen': -0.1715736836194992, 'rewards/rejected': -0.5826018452644348, 'rewards/accuracies': 0.925000011920929, 'rewards/margins': 0.4110281467437744, 'logps/rejected': -5.8260178565979, 'logps/chosen': -1.715736746788025, 'logits/rejected': 0.7313185930252075, 'logits/chosen': 0.6947718858718872, 'nll_loss': 1.895829200744629, 'log_odds_ratio': -0.36175861954689026, 'log_odds_chosen': 4.5894317626953125, 'epoch': 0.15}
{'loss': 1.9496, 'grad_norm': 0.6087572574615479, 'learning_rate': 1.6968e-05, 'rewards/chosen': -0.20406889915466309, 'rewards/rejected': -0.6320443153381348, 'rewards/accuracies': 1.0, 'rewards/margins': 0.4279754161834717, 'logps/rejected': -6.3204426765441895, 'logps/chosen': -2.040688991546631, 'logits/rejected': 0.6694198846817017, 'logits/chosen': 0.6414079666137695, 'nll_loss': 1.943678617477417, 'log_odds_ratio': -0.05957669019699097, 'log_odds_chosen': 4.644042491912842, 'epoch': 0.15}
{'loss': 1.9444, 'grad_norm': 0.8334947824478149, 'learning_rate': 1.6888e-05, 'rewards/chosen': -0.17894592881202698, 'rewards/rejected': -0.5583134293556213, 'rewards/accuracies': 0.949999988079071, 'rewards/margins': 0.3793674409389496, 'logps/rejected': -5.583133220672607, 'logps/chosen': -1.789459466934204, 'logits/rejected': 0.6817208528518677, 'logits/chosen': 0.6425305604934692, 'nll_loss': 1.9333009719848633, 'log_odds_ratio': -0.11128737777471542, 'log_odds_chosen': 4.199446678161621, 'epoch': 0.16}
{'loss': 1.958, 'grad_norm': 0.8223283886909485, 'learning_rate': 1.6808000000000002e-05, 'rewards/chosen': -0.1356971561908722, 'rewards/rejected': -0.6317788362503052, 'rewards/accuracies': 1.0, 'rewards/margins': 0.496081680059433, 'logps/rejected': -6.317789077758789, 'logps/chosen': -1.3569716215133667, 'logits/rejected': 0.7736494541168213, 'logits/chosen': 0.7479385733604431, 'nll_loss': 1.9550052881240845, 'log_odds_ratio': -0.029859274625778198, 'log_odds_chosen': 5.549841403961182, 'epoch': 0.16}
{'loss': 2.0291, 'grad_norm': 1.1049939393997192, 'learning_rate': 1.6728000000000003e-05, 'rewards/chosen': -0.16192007064819336, 'rewards/rejected': -0.5825239419937134, 'rewards/accuracies': 1.0, 'rewards/margins': 0.42060381174087524, 'logps/rejected': -5.8252387046813965, 'logps/chosen': -1.6192007064819336, 'logits/rejected': 0.6120532155036926, 'logits/chosen': 0.5844219923019409, 'nll_loss': 2.0242199897766113, 'log_odds_ratio': -0.049094058573246, 'log_odds_chosen': 4.611141204833984, 'epoch': 0.16}
{'loss': 2.0206, 'grad_norm': 0.7116925120353699, 'learning_rate': 1.6648e-05, 'rewards/chosen': -0.15161916613578796, 'rewards/rejected': -0.5567856431007385, 'rewards/accuracies': 0.925000011920929, 'rewards/margins': 0.40516647696495056, 'logps/rejected': -5.567856311798096, 'logps/chosen': -1.5161917209625244, 'logits/rejected': 0.46897420287132263, 'logits/chosen': 0.4381449818611145, 'nll_loss': 2.0043249130249023, 'log_odds_ratio': -0.16237732768058777, 'log_odds_chosen': 4.512736797332764, 'epoch': 0.17}
{'loss': 1.9483, 'grad_norm': 1.0086419582366943, 'learning_rate': 1.6568e-05, 'rewards/chosen': -0.1567946970462799, 'rewards/rejected': -0.5243709087371826, 'rewards/accuracies': 1.0, 'rewards/margins': 0.3675761818885803, 'logps/rejected': -5.243708610534668, 'logps/chosen': -1.5679470300674438, 'logits/rejected': 0.5911020040512085, 'logits/chosen': 0.5653199553489685, 'nll_loss': 1.9397475719451904, 'log_odds_ratio': -0.08587721735239029, 'log_odds_chosen': 4.069779872894287, 'epoch': 0.17}
{'loss': 1.9035, 'grad_norm': 1.1275205612182617, 'learning_rate': 1.6488000000000002e-05, 'rewards/chosen': -0.1816474199295044, 'rewards/rejected': -0.5201602578163147, 'rewards/accuracies': 0.949999988079071, 'rewards/margins': 0.3385128378868103, 'logps/rejected': -5.201601982116699, 'logps/chosen': -1.816474199295044, 'logits/rejected': 0.4023686349391937, 'logits/chosen': 0.3873794674873352, 'nll_loss': 1.8888471126556396, 'log_odds_ratio': -0.14617443084716797, 'log_odds_chosen': 3.77343487739563, 'epoch': 0.18}
{'loss': 1.9417, 'grad_norm': 0.7182865142822266, 'learning_rate': 1.6408000000000003e-05, 'rewards/chosen': -0.14248698949813843, 'rewards/rejected': -0.4874115586280823, 'rewards/accuracies': 1.0, 'rewards/margins': 0.34492453932762146, 'logps/rejected': -4.874114513397217, 'logps/chosen': -1.4248698949813843, 'logits/rejected': 0.4376460909843445, 'logits/chosen': 0.403097927570343, 'nll_loss': 1.9371273517608643, 'log_odds_ratio': -0.04598817974328995, 'log_odds_chosen': 3.8926308155059814, 'epoch': 0.18}
{'loss': 1.9216, 'grad_norm': 0.5973559617996216, 'learning_rate': 1.6328e-05, 'rewards/chosen': -0.14389793574810028, 'rewards/rejected': -0.5423184037208557, 'rewards/accuracies': 0.9750000238418579, 'rewards/margins': 0.3984204828739166, 'logps/rejected': -5.423184394836426, 'logps/chosen': -1.4389793872833252, 'logits/rejected': 0.4496239721775055, 'logits/chosen': 0.41387900710105896, 'nll_loss': 1.9153276681900024, 'log_odds_ratio': -0.0624283142387867, 'log_odds_chosen': 4.513467788696289, 'epoch': 0.18}
{'loss': 1.9212, 'grad_norm': 0.9848246574401855, 'learning_rate': 1.6248e-05, 'rewards/chosen': -0.16265234351158142, 'rewards/rejected': -0.569940447807312, 'rewards/accuracies': 0.9750000238418579, 'rewards/margins': 0.4072880744934082, 'logps/rejected': -5.699404239654541, 'logps/chosen': -1.6265233755111694, 'logits/rejected': 0.3826214671134949, 'logits/chosen': 0.35904043912887573, 'nll_loss': 1.9099645614624023, 'log_odds_ratio': -0.11248328536748886, 'log_odds_chosen': 4.501677513122559, 'epoch': 0.19}
{'loss': 2.0129, 'grad_norm': 0.7480654120445251, 'learning_rate': 1.6168000000000002e-05, 'rewards/chosen': -0.12948811054229736, 'rewards/rejected': -0.5573820471763611, 'rewards/accuracies': 1.0, 'rewards/margins': 0.4278939366340637, 'logps/rejected': -5.573821067810059, 'logps/chosen': -1.2948812246322632, 'logits/rejected': 0.4665308892726898, 'logits/chosen': 0.44681644439697266, 'nll_loss': 2.006936550140381, 'log_odds_ratio': -0.05974907800555229, 'log_odds_chosen': 4.900788307189941, 'epoch': 0.19}
{'loss': 2.0607, 'grad_norm': 0.7773923873901367, 'learning_rate': 1.6088000000000002e-05, 'rewards/chosen': -0.16351215541362762, 'rewards/rejected': -0.549355685710907, 'rewards/accuracies': 0.8999999761581421, 'rewards/margins': 0.38584357500076294, 'logps/rejected': -5.493557929992676, 'logps/chosen': -1.6351217031478882, 'logits/rejected': 0.5197533369064331, 'logits/chosen': 0.5018264651298523, 'nll_loss': 2.04166316986084, 'log_odds_ratio': -0.1908336877822876, 'log_odds_chosen': 4.451066493988037, 'epoch': 0.2}
{'loss': 2.0412, 'grad_norm': 0.7675250768661499, 'learning_rate': 1.6008e-05, 'rewards/chosen': -0.149916872382164, 'rewards/rejected': -0.5848449468612671, 'rewards/accuracies': 0.9750000238418579, 'rewards/margins': 0.43492811918258667, 'logps/rejected': -5.848450183868408, 'logps/chosen': -1.4991687536239624, 'logits/rejected': 0.516650915145874, 'logits/chosen': 0.4948897957801819, 'nll_loss': 2.0344154834747314, 'log_odds_ratio': -0.06752435117959976, 'log_odds_chosen': 4.9180426597595215, 'epoch': 0.2}
